variable,description,dtype,role,units,allowed_observed_values,missing_count,valid_range,source,derived_status,planned_treatment,predictor_inclusion_status,leakage_concern,limitation_note
year,Observation year (2015-2026),int64,predictor/audit,as supplied,"['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026']",0,2015 to 2026,undersea_cables_master.csv,source field,exclude from primary model,excluded,none identified,
cable_id,Synthetic cable system id,object,identifier,as supplied,"['CAB0000', 'CAB0001', 'CAB0002', 'CAB0003', 'CAB0004', 'CAB0005', 'CAB0006', 'CAB0007', 'CAB0008', 'CAB0009', 'CAB0010', 'CAB0011', 'CAB0012', 'CAB0013', 'CAB0014', 'CAB0015', 'CAB0016', 'CAB0017', 'CAB0018', 'CAB0019', 'CAB0020', 'CAB0021', 'CAB0022', 'CAB0023', 'CAB0024', 'CAB0025', 'CAB0026', 'CAB0027', 'CAB0028', 'CAB0029']",0,categorical,undersea_cables_master.csv,source field,exclude from primary model,excluded,none identified,
ocean_route,"Route/region (Trans-Atlantic, Trans-Pacific, EMEA-Asia, ...)",object,predictor/audit,as supplied,"['Africa-Coastal', 'Americas', 'EMEA-Asia', 'Indian-Ocean', 'Intra-Asia', 'Intra-Europe', 'Intra-Pacific-Islands', 'Trans-Atlantic', 'Trans-Pacific']",0,categorical,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
operator_type,Owner type: hyperscaler / consortium / carrier / government,object,predictor/audit,as supplied,"['carrier', 'consortium', 'government', 'hyperscaler']",0,categorical,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
rfs_year,Ready-for-service year (when the cable went live),int64,predictor/audit,as supplied,"['1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026']",0,1998 to 2026,undersea_cables_master.csv,source field,exclude from primary model,excluded,none identified,
age_years,Cable age that year,int64,predictor/audit,as supplied,"['0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '3', '4', '5', '6', '7', '8', '9']",0,0 to 28,undersea_cables_master.csv,derived,retain/audit,primary predictor,none identified,
fiber_pairs,Number of fiber pairs (higher = newer/higher capacity),int64,predictor/audit,as supplied,"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '37', '38']",0,2 to 48,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
length_km,Cable length (km),float64,predictor/audit,as supplied,"['10027.0', '10096.0', '1013.0', '10138.0', '10145.0', '10177.0', '10198.0', '10273.0', '1028.0', '10339.0', '10366.0', '10369.0', '10371.0', '10438.0', '1044.0', '10453.0', '10493.0', '10526.0', '10572.0', '10577.0', '10594.0', '10601.0', '1062.0', '10679.0', '10698.0', '10716.0', '10730.0', '10735.0', '10736.0', '10743.0']",0,191.0 to 19976.0,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
n_landing_countries,Number of countries with landing stations,int64,predictor/audit,as supplied,"['10', '11', '2', '3', '4', '5', '6', '7', '8', '9']",0,2 to 11,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
chokepoint,Maritime chokepoint the cable transits (or None),object,predictor/audit,as supplied,"['Bab-el-Mandeb', 'Hormuz', 'Luzon-Strait', 'Malacca', 'None', 'Panama', 'Suez', 'Taiwan-Strait']",0,categorical,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,"Literal category ""None"" is valid and not missing."
design_capacity_tbps,"Design (potential) capacity, Tbps",float64,predictor/audit,as supplied,"['100.6', '1005.4', '104.3', '1054.3', '106.3', '108.0', '108.6', '1083.4', '109.7', '1092.0', '111.4', '112.0', '1164.3', '117.7', '1177.1', '118.6', '1200.0', '1216.0', '123.4', '129.1', '1296.0', '1301.1', '134.9', '136.0', '1389.1', '1437.7', '146.0', '149.1', '150.9', '156.0']",0,16.0 to 2235.4,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
lit_capacity_tbps,"Lit (active) capacity, Tbps",float64,predictor/audit,as supplied,"['100.0', '100.1', '100.2', '100.3', '100.4', '100.5', '100.6', '100.7', '100.9', '1009.0', '1009.2', '101.0', '101.2', '101.4', '101.6', '101.7', '101.8', '101.9', '1012.9', '1014.4', '102.0', '102.1', '102.2', '102.3', '102.4', '102.6', '102.7', '102.9', '1024.9', '103.0']",0,16.0 to 1327.0,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
utilization_pct,Capacity utilization (%),float64,predictor/audit,as supplied,"['1.0', '1.9', '10.0', '10.3', '10.5', '10.6', '10.7', '10.9', '100.0', '11.1', '11.2', '11.4', '11.5', '11.7', '11.9', '12.1', '12.5', '12.6', '12.8', '12.9', '13.0', '13.2', '13.3', '13.4', '13.7', '13.8', '14.0', '14.3', '14.4', '14.5']",0,1.0 to 100.0,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
protected_burial,1 if buried/armored for protection,int64,predictor/audit,as supplied,"['0', '1']",0,0 to 1,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
design_life_years,Engineered design life (~25y),int64,predictor/audit,as supplied,['25'],0,25 to 25,undersea_cables_master.csv,source field,exclude from primary model,excluded,none identified,"Constant at 25; retained for audit, excluded from predictors."
route_redundancy,Number of cables sharing that route-year,int64,predictor/audit,as supplied,"['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '47', '48', '49', '50', '51', '52', '53', '54', '58', '59', '60']",0,27 to 77,undersea_cables_master.csv,derived,retain/audit,primary predictor,none identified,
is_low_redundancy,1 if route is in the bottom-quartile of redundancy,int64,predictor/audit,as supplied,"['0', '1']",0,0 to 1,undersea_cables_master.csv,derived,exclude from primary model,excluded,none identified,Verified equivalent to route_redundancy < 40; excluded when continuous feature retained.
vulnerability_index,COMPUTED analytical exposure index (0-100),float64,predictor/audit,as supplied,"['0.0', '1.6', '100.0', '11.1', '11.9', '12.7', '13.5', '14.3', '15.1', '15.9', '16.7', '17.5', '18.3', '19.0', '19.8', '20.6', '21.4', '22.2', '23.0', '23.8', '24.6', '25.4', '26.2', '27.0', '27.8', '28.6', '29.4', '3.2', '30.2', '31.0']",0,0.0 to 100.0,undersea_cables_master.csv,source field,exclude from primary model,excluded,none identified,
fault_cause,Cause if a fault occurred (fishing_anchor / natural_hazard / equipment / suspected_external / none),object,predictor/audit,as supplied,"['equipment', 'fishing_anchor', 'natural_hazard', 'none', 'suspected_external']",0,categorical,undersea_cables_master.csv,source field,exclude from primary model,excluded,May encode contemporaneous fault mechanism; excluded.,
fault_this_year,1 if the cable had a fault that year,int64,predictor/audit,as supplied,"['0', '1']",0,0 to 1,undersea_cables_master.csv,source field,retain/audit,primary predictor,none identified,
fault_next_year,ML TARGET (forward-looking): 1 if a fault occurs next year; NaN for 2026,float64,target,as supplied,"['0.0', '1.0']",500,0.0 to 1.0,undersea_cables_master.csv,source field,exclude from primary model,excluded,none identified,
